1	abraham	add_place	right
1176	abraham	norm	ⲩ
1177	abraham	norm	ϩⲟⲧⲡ
1178	abraham	norm	ⲥⲛⲁⲩ
1179	abraham	norm	ⲉ
1180	abraham	norm	ϣⲡ
1181	abraham	norm	ϩⲓⲥⲉ
1182	abraham	norm	ⲙⲛ
1183	abraham	norm	ϩⲉⲛ
1184	abraham	norm	ⲕⲟⲟⲩⲉ
1185	abraham	norm	·
1186	abraham	norm	ⲁⲩⲱ
1187	abraham	norm	ⲛ
1188	abraham	norm	ⲥⲉ
1189	abraham	norm	ⲙⲟⲩ
1190	abraham	norm	ϩⲁ
1191	abraham	norm	ⲡ
1192	abraham	norm	ⲣⲁⲛ
1193	abraham	norm	ⲛ
1194	abraham	norm	ⲓⲏⲥⲟⲩⲥ
1195	abraham	norm	:
1196	abraham	norm	ⲉⲧⲃⲉ
1197	abraham	norm	ⲡⲁⲓ
1198	abraham	norm	ⲛⲧⲉⲣⲉ
1199	abraham	norm	ϥ
1200	abraham	norm	ϣⲣⲡ
1201	abraham	norm	ⲉⲓⲙⲉ
1202	abraham	norm	ⲛϭⲓ
1203	abraham	norm	ⲡ
1204	abraham	norm	ϫⲟⲉⲓⲥ
1205	abraham	norm	ⲓⲏⲥⲟⲩⲥ
1206	abraham	norm	ϫⲉ
1207	abraham	norm	ⲛⲉ
1208	abraham	norm	ⲛ
1209	abraham	norm	ⲉⲓⲟⲧⲉ
1210	abraham	norm	ⲛ
1211	abraham	norm	ⲁⲡⲟⲥⲧⲟⲗⲟⲥ
1212	abraham	norm	ⲛⲁ
1213	abraham	norm	ⲉⲓⲣⲉ
1214	abraham	norm	ⲛ
1215	abraham	norm	ϩⲱⲃ
1216	abraham	norm	ⲛⲓⲙ
1217	abraham	norm	ⲉ
1218	abraham	norm	ⲛⲧ
1219	abraham	norm	ⲁ
1220	abraham	norm	ϥ
1221	abraham	norm	ⲟⲩⲉϩ
1222	abraham	norm	ⲥⲁϩⲛⲉ
1223	abraham	norm	ⲙⲙⲟ
1224	abraham	norm	ⲟⲩ
1225	abraham	norm	ⲉ
1226	abraham	norm	ϥ
1227	abraham	norm	ⲛⲁ
1228	abraham	norm	ⲃⲱⲕ
1229	abraham	norm	ⲉⲃⲟⲗ
1230	abraham	norm	ϩⲓⲧⲟⲟⲧ
1231	abraham	norm	ⲟⲩ
1232	abraham	norm	ⲉ
1233	abraham	norm	ϩⲣⲁⲓ
1234	abraham	norm	ⲉ
1235	abraham	norm	ⲙ
1236	abraham	norm	ⲡⲏⲩⲉ
