0	NULL	annotation	Caroline Schroeder, Amir Zeldes
88	NULL	document_cts_urn	urn:cts:copticLit:nt.acts.sahidica:21
88	NULL	metadata	Caroline T. Schroeder
88	NULL	version_date	16 April 2015
88	NULL	version_n	1.0.1
89	NULL	book	Acts of the Apostles
89	NULL	chapter	22
89	NULL	cid	44N 22
89	NULL	cname	Acts of the Apostles 22
89	NULL	document_cts_urn	urn:cts:copticLit:nt.acts.sahidica:22
89	NULL	metadata	Caroline T. Schroeder
89	NULL	version_date	16 April 2015
89	NULL	version_n	1.0.1
90	NULL	book	Acts of the Apostles
90	NULL	chapter	23
90	NULL	cid	44N 23
90	NULL	cname	Acts of the Apostles 23
90	NULL	document_cts_urn	urn:cts:copticLit:nt.acts.sahidica:23
90	NULL	metadata	Caroline T. Schroeder
90	NULL	version_date	16 April 2015
90	NULL	version_n	1.0.1
91	NULL	book	Acts of the Apostles
91	NULL	chapter	24
91	NULL	cid	44N 24
91	NULL	cname	Acts of the Apostles 24
91	NULL	document_cts_urn	urn:cts:copticLit:nt.acts.sahidica:24
91	NULL	metadata	Caroline T. Schroeder
91	NULL	version_date	16 April 2015
91	NULL	version_n	1.0.1
92	NULL	book	Acts of the Apostles
92	NULL	chapter	25
92	NULL	cid	44N 25
92	NULL	cname	Acts of the Apostles 25
92	NULL	document_cts_urn	urn:cts:copticLit:nt.acts.sahidica:25
92	NULL	metadata	Caroline T. Schroeder
92	NULL	version_date	16 April 2015
92	NULL	version_n	1.0.1
93	NULL	book	Acts of the Apostles
93	NULL	chapter	26
93	NULL	cid	44N 26
93	NULL	cname	Acts of the Apostles 26
93	NULL	document_cts_urn	urn:cts:copticLit:nt.acts.sahidica:26
93	NULL	metadata	Caroline T. Schroeder
93	NULL	version_date	16 April 2015
93	NULL	version_n	1.0.1
94	NULL	book	Acts of the Apostles
94	NULL	chapter	27
94	NULL	cid	44N 27
94	NULL	cname	Acts of the Apostles 27
94	NULL	document_cts_urn	urn:cts:copticLit:nt.acts.sahidica:27
94	NULL	metadata	Caroline T. Schroeder
94	NULL	version_date	16 April 2015
94	NULL	version_n	1.0.1
95	NULL	book	Acts of the Apostles
95	NULL	chapter	28
95	NULL	cid	44N 28
95	NULL	cname	Acts of the Apostles 28
95	NULL	document_cts_urn	urn:cts:copticLit:nt.acts.sahidica:28
95	NULL	metadata	Caroline T. Schroeder
95	NULL	version_date	16 April 2015
95	NULL	version_n	1.0.1
96	NULL	book	Acts of the Apostles
96	NULL	chapter	3
96	NULL	cid	44N 3
